Match,Team 1,Team 2,Date,Time,Season
Match 43,Deccan Chargers,Delhi Daredevils,2009-05-13,8:00 pm,2009
Match 44,Royal Challengers Bangalore,Chennai Super Kings,2009-05-14,4:00 pm,2009
Match 45,Mumbai Indians,Rajasthan Royals,2009-05-14,8:00 pm,2009
Match 46,Delhi Daredevils,Punjab Kings,2009-05-15,8:00 pm,2009
Match 47,Chennai Super Kings,Mumbai Indians,2009-05-16,4:00 pm,2009
Match 48,Deccan Chargers,Kolkata Knight Riders,2009-05-16,8:00 pm,2009
Match 49,Deccan Chargers,Punjab Kings,2009-05-17,4:00 pm,2009
Match 50,Delhi Daredevils,Rajasthan Royals,2009-05-17,8:00 pm,2009
Match 51,Chennai Super Kings,Kolkata Knight Riders,2009-05-18,8:00 pm,2009
Match 52,Royal Challengers Bangalore,Delhi Daredevils,2009-05-19,8:00 pm,2009
Match 53,Kolkata Knight Riders,Rajasthan Royals,2009-05-20,4:00 pm,2009
Match 54,Chennai Super Kings,Punjab Kings,2009-05-20,8:00 pm,2009
Match 55,Delhi Daredevils,Mumbai Indians,2009-05-21,4:00 pm,2009
Match 56,Royal Challengers Bangalore,Deccan Chargers,2009-05-21,8:00 pm,2009
Match 57,Delhi Daredevils,Deccan Chargers,2009-05-22,8:00 pm,2009
Match 58,Royal Challengers Bangalore,Chennai Super Kings,2009-05-23,8:00 pm,2009
